French_keywords	English_keywords
Accessibilité de la chromatine	Chromatin accessibility
Algorithmique des séquences	Algorithms of sequences
Alignement (multiple) de séquences	Multiple sequence alignment
Alignements de lectures sur des génomes	Read alignments genomes
Analyse de données de séquençage NGS	Sequencing data analysis NGS
Analyse de génomes	Genomic analysis
Analyse de la conformation des chromosomes	Chromosome conformation analysis
Analyse de la régulation de l’expression des gènes	Analysis of gene expression regulation
Analyse de répertoires immunitaires	Immune repertoires analysis
Analyse des données NGS	Analysis of NGS datas
Analyse des données RNAseq	Analysis of RNAseq datas
Analyse de second niveau	Second level analysis
Analyse de séquences	Sequence analysis
Analyse des modifications post-traductionnelles	Analysis of post-translational modifications
Analyse des propriétés dynamiques et thermodynamiques des structures	Analysis of the dynamic and thermodynamic properties of structures
Analyse des réseaux métaboliques	Metabolic network analysis,
Analyse des structures, recherche d'homologues et de motifs structuraux	Structure analysis, homologous research and structural patterns
Analyse de variants	Variant analysis
Analyse différentielle de l’expression des gènes	Differential analysis of gene expression
Analyse différentielle statistique	Differential statistical analysis
Analyse d’images	Picture analysis
Analyse et modélisation multi-échelle	Multi-scale analysis and modeling
Analyses de transcrits et transcrits variants	Transcript and variant transcript analysis
Analyses multivariées	Multivariate analysis
Annotation de séquences	Sequence annotation
Annotation structurale et fonctionnelle des génomes	Structural and functional annotation of genomes
Apprentissage automatique	Machine learning
Arbre de la vie	Tree of life
Assemblage de génomes et transcriptomes	Genome and transcriptomes assembly 
Aucun des termes ci-dessus ne convient	None of the above terms are appropriate
Autre	Other
Autres langages	Other languages
Bases de données et systèmes d’informations	Databases and information systems
Biodiversité	Biodiversity
Bioimagerie	Bioimaging
Bioinformatique & Biomédicale	Bioinformatics & Biomedical
Bioinformatique & Génomique végétale	Bioinformatics & Plant Genomics
Bioinformatique structurale	Structural bioinformatics
Biologie des systèmes	Systems biology
Biopuces ADN	DNA biochips
Biopuces ARN	RNA biochips
Biostatistiques	Biostatistics
Cartographie	Cartography
Cartographie génétique	Genetic Mapping
Cartographie génétique et d'hybrides irradiés	Genetic mapping and irradiated hybrids
Cartographie physique	Physical mapping
CGH	CGH
Chip-seq	Chip-seq
Clonage positionnel	Positional cloning
Cloud	Cloud
Cluster	Cluster
Comparaison des génomes	Genome comparison
Comparaison des voies fonctionnelles et régulatrices	Comparison of functional and regulatory pathways
Criblage basé sur la structure	Structure-based screening
Criblage basé sur le ligand (QSAR)	Ligand-based screening (QSAR)
Criblage virtuel	Virtual screening,
Curation de collections de données	Curation of data collections
Data identity and mapping (database search engine, spectral library search, de novo sequencing)	Data identity and mapping (database search engine, spectral library search, de novo sequencing)
Datation des spéciations	Dating of speciations
Démultiplexage de spectres	Spectrum Demultiplexing
Détection de sélection	Selection detection
Développement de workflows	Workflow development
Développements technologiques de l‘Information et de la Communication	Technological developments in IT
Données	Datas
Ecologie	Ecology
Ecologie microbienne	Microbial ecology
E-learning	E-learning
Environnements de calcul	Computational environments
Evolution et phylogénie	Evolution and phylogeny
Evolution moléculaire	Molecular evolution
Exomes	Exomes
Expression	Expression
Extraction de connaissances	Knowledge extraction
Extraction d’informations	Information extraction
Fonctionelles	Functional
Fonctionnement des systèmes biologiques complexes	Functioning of complex biological systems
Framework Galaxy	Framework Galaxy
Gènes et génomes	Genes & genomes
Génétique des populations	Genetics of populations
Génie métabolique	Metabolic engineering
Génomes complets	Full genomes
Génomique comparative	Comparative genomics
Génomique (DNA-seq)	Genomics (DNA-seq)
Génomique : Puces	Genomics: Microarrays
Génotypage	Genotyping
Gestion et transfert de données	Data management and transfer
GPU	GPU
Identification des métabolites	Metabolite identification
